sample,guides,hisat2_strict_assigned,dotmatch_assigned,identical_guides,pearson,spearman
HT_1,75680,29833,29833,75680,1.0000000000000002,1.0000000000000002
HT_2,75680,30190,30190,75680,1.0,0.9999999999999998
noHT_1,75680,29958,29958,75680,1.0,1.0000000000000002
noHT_2,75680,30496,30494,75678,0.9999994879801193,0.9999971572920228
